time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
46514, -0.046, -0.045, -0.003, 0.015, 0.025, -0.010
46720, 0.102, 0.059, -0.018, 0.030, 0.010, 0.034
46925, -0.001, 0.177, -0.033, -0.000, 0.025, -0.040
47132, -0.046, -0.000, -0.092, 0.030, 0.025, 0.020
47338, 0.280, 0.103, 0.041, 0.015, 0.010, -0.010
47545, 0.191, -0.015, 0.130, -0.015, 0.025, -0.010
47751, 0.650, 0.281, -0.033, -0.030, 0.025, -0.010
47958, 0.088, -0.000, -0.018, 0.030, -0.020, 0.020
48163, 0.132, 0.044, 0.056, 0.044, 0.010, 0.064
48369, 0.399, 0.088, 0.115, 0.015, 0.010, -0.055
48576, -0.105, -0.134, -0.003, -0.000, 0.040, 0.005
48782, 0.028, -0.030, 0.026, -0.000, 0.010, 0.020
48989, 0.088, 0.103, -0.033, -0.000, 0.010, 0.020
49195, -0.238, 0.014, 0.041, 0.015, 0.010, 0.005
49401, -0.031, -0.015, -0.048, -0.030, 0.025, 0.020
49607, -0.238, -0.030, -0.092, 0.044, 0.010, 0.034
49813, -0.105, 0.014, -0.018, 0.015, 0.010, -0.025
50020, 0.132, 0.133, -0.003, -0.000, 0.025, -0.025
50226, 0.028, 0.222, -0.063, 0.044, -0.020, 0.005
50433, -0.164, -0.000, -0.063, 0.015, -0.005, 0.034
50638, 0.028, 0.103, 0.026, 0.015, 0.025, 0.005
50845, 0.117, 0.162, -0.033, 0.015, 0.010, 0.005
51051, 0.191, 0.059, 0.026, -0.000, -0.020, 0.049
51257, -0.016, -0.000, 0.086, -0.000, 0.010, 0.064
51464, -0.075, -0.208, 0.026, -0.015, 0.010, 0.034
51670, 0.043, -0.074, 0.041, 0.015, 0.040, 0.005
51876, 0.073, 0.103, -0.077, 0.044, -0.020, 0.020
52082, 0.236, -0.000, 0.115, 0.015, 0.010, 0.005
52289, -0.046, 0.029, -0.003, -0.015, 0.040, 0.108
52495, 0.058, 0.044, 0.012, 0.015, 0.010, -0.010
52701, -0.120, 0.340, -0.018, -0.015, 0.010, 0.079
52908, -0.253, -0.045, -0.092, -0.000, 0.025, -0.010
53113, -0.090, 0.014, -0.092, 0.030, 0.010, -0.025
53320, 0.117, 0.222, -0.018, -0.000, 0.010, 0.005
53526, -0.016, 0.014, -0.063, -0.000, -0.020, 0.064
53733, -0.179, -0.074, -0.077, 0.015, 0.010, 0.005
53939, -0.061, 0.074, -0.063, 0.015, 0.010, -0.040
54146, 0.028, 0.014, -0.077, -0.015, 0.010, 0.020
54351, 0.117, -0.030, 0.012, -0.000, -0.020, 0.005
54557, 0.176, 0.029, 0.086, 0.015, 0.025, -0.040
54764, -0.135, -0.134, -0.018, 0.015, 0.040, 0.020
54970, -0.105, -0.149, -0.033, -0.000, -0.005, -0.025
55177, -0.001, -0.104, 0.012, 0.015, 0.025, 0.094
55383, 0.102, 0.370, -0.063, -0.000, 0.010, 0.005
55589, -0.357, -0.045, -0.122, -0.000, 0.010, -0.010
55795, -0.046, -0.045, -0.077, -0.030, 0.025, -0.010
56002, -0.075, 0.088, -0.033, 0.030, -0.005, 0.034
56208, -0.031, 0.029, -0.033, 0.015, 0.010, 0.020
56414, 0.028, 0.133, 0.012, 0.015, -0.020, 0.064
56621, 0.073, 0.162, -0.048, 0.015, -0.034, -0.010
56826, 0.028, -0.060, 0.071, -0.000, 0.010, -0.025
57033, -0.164, -0.000, -0.033, 0.015, 0.010, 0.020
57239, 0.132, 0.029, -0.003, -0.000, -0.005, 0.020
57446, 0.073, -0.015, 0.056, -0.015, 0.040, 0.020
